#epoch value error jitter_flag offset_flag
  59332.189797       0.172      0.001      0   0
  59332.197387       0.172      0.001      0   0
  59332.200011       0.172      0.001      0   0
  59334.234566       0.172      0.001      0   0
  59334.237103       0.172      0.001      0   0
  59334.239600       0.172      0.001      0   0
  59335.326035       0.171      0.001      0   0
  59335.330868       0.172      0.001      0   0
  59335.333272       0.171      0.001      0   0
  59336.173315       0.172      0.001      0   0
  59336.175692       0.172      0.001      0   0
  59336.181796       0.172      0.001      0   0
  59337.233449       0.172      0.001      0   0
  59337.235931       0.172      0.001      0   0
  59337.244221       0.172      0.001      0   0
  59338.188239       0.172      0.001      0   0
  59338.190732       0.172      0.001      0   0
  59338.193250       0.171      0.001      0   0
  59339.264851       0.172      0.001      0   0
  59339.274735       0.172      0.001      0   0
  59339.345059       0.172      0.001      0   0
  59341.205674       0.171      0.001      0   0
  59341.213678       0.172      0.001      0   0
  59341.216302       0.171      0.001      0   0
  59342.213085       0.171      0.001      0   0
  59342.215868       0.171      0.001      0   0
  59342.218582       0.171      0.001      0   0
  59345.350049       0.172      0.001      0   0
  59345.352391       0.172      0.001      0   0
  59345.358459       0.172      0.001      0   0
  59346.170515       0.172      0.001      0   0
  59346.172885       0.172      0.001      0   0
  59346.177612       0.172      0.001      0   0
  59347.291118       0.172      0.001      0   0
  59347.296123       0.172      0.001      0   0
  59347.311002       0.172      0.001      0   0
  59348.287651       0.172      0.001      0   0
  59348.290178       0.172      0.001      0   0
  59348.292681       0.172      0.001      0   0
  59349.121628       0.172      0.001      0   0
  59349.126921       0.172      0.001      0   0
  59349.129550       0.172      0.001      0   0
  59350.304057       0.172      0.001      0   0
  59350.306325       0.172      0.001      0   0
  59350.313185       0.172      0.001      0   0
  59351.202848       0.172      0.001      0   0
  59351.209430       0.172      0.001      0   0
  59351.214571       0.172      0.001      0   0
  59352.100400       0.172      0.001      0   0
  59352.102986       0.172      0.001      0   0
  59352.111932       0.172      0.001      0   0
  59353.256297       0.172      0.001      0   0
  59353.261287       0.172      0.001      0   0
  59353.273571       0.172      0.001      0   0
  59354.281496       0.172      0.001      0   0
  59354.290542       0.172      0.001      0   0
  59354.297835       0.172      0.001      0   0
  59355.149128       0.172      0.001      0   0
